Index	sample	Genus	species	type	count	cells	per_filter	Barrel	day	timepoint
703	D4_B3_T1	Ditylum	brightwelli	1	3	862.00	6957.00	3	4	1
704	D5_B3_T1	Ditylum	brightwelli	1	8	3400.00	4712.00	3	5	1
705	D6_B3_T1	Ditylum	brightwelli	1	12	5450.00	4402.00	3	6	1
706	D1_B3_T1	Eucampia	zodiacus	1	73	21100.00	6925.00	3	1	1
707	D2_B3_T1	Eucampia	zodiacus	1	63	4340.00	29056.00	3	2	1
708	D3_B3_T1	Eucampia	zodiacus	1	56	12200.00	9197.00	3	3	1
709	D4_B3_T1	Eucampia	zodiacus	1	64	52300.00	245.00	3	4	1
710	D5_B3_T1	Eucampia	zodiacus	1	111	47100.00	4712.00	3	5	1
711	D6_B3_T1	Eucampia	zodiacus	1	183	419000.00	874.00	3	6	1
712	D1_B3_T1	Euglena	unknown	6	30	1290.00	46525.00	3	1	1
713	D2_B3_T1	Euglena	unknown	1	1	545.00	36682.00	3	2	1
714	D3_B3_T1	Fragilariopsis	unknown	1	6	611.00	19635.00	3	3	1
715	D1_B3_T1	Fragilaria	unknown	1	7	301.00	46525.00	3	1	1
716	D2_B3_T1	Fragilaria	unknown	1	15	818.00	36682.00	3	2	1
717	D4_B3_T1	Fragilaria	unknown	1	8	2300.00	6957.00	3	4	1
718	D5_B3_T1	Fragilaria	unknown	1	7	2970.00	4712.00	3	5	1
719	D6_B3_T1	Fragilaria	unknown	1	9	4090.00	4402.00	3	6	1
720	D1_B3_T1	Guinardia	striata	1	13	559.00	46525.00	3	1	1
721	D2_B3_T1	Guinardia	striata	1	14	763.00	36682.00	3	2	1
722	D3_B3_T1	Guinardia	striata	1	23	2340.00	19635.00	3	3	1
723	D4_B3_T1	Guinardia	striata	1	13	3740.00	6957.00	3	4	1
724	D5_B3_T1	Guinardia	striata	1	21	8910.00	4712.00	3	5	1
725	D6_B3_T1	Guinardia	striata	1	29	13200.00	4402.00	3	6	1
726	D3_B3_T1	Gymnodinium	greater50micrometer	2	1	102.00	19635.00	3	3	1
727	D1_B3_T1	Hemiaulus	sinensis	1	18	774.00	46525.00	3	1	1
728	D3_B3_T1	Hemiaulus	sinensis	1	2	204.00	19635.00	3	3	1
729	D5_B3_T1	Hemiaulus	sinensis	1	25	10600.00	4712.00	3	5	1
730	D6_B3_T1	Hemiaulus	sinensis	1	9	4090.00	4402.00	3	6	1
731	D1_B3_T1	Katadinoid	unknown	2	4	172.00	46525.00	3	1	1
732	D6_B3_T1	Katadinoid	unknown	2	3	1360.00	4402.00	3	6	1
733	D1_B3_T1	Lioloma	unknown	1	9	387.00	46525.00	3	1	1
734	D2_B3_T1	Lioloma	unknown	1	18	981.00	36682.00	3	2	1
735	D3_B3_T1	Lioloma	unknown	1	7	713.00	19635.00	3	3	1
736	D4_B3_T1	Lioloma	unknown	1	12	1940.00	12391.00	3	4	1
737	D5_B3_T1	Lioloma	unknown	1	11	4670.00	4712.00	3	5	1
738	D6_B3_T1	Lioloma	unknown	1	13	5910.00	4402.00	3	6	1
739	D3_B3_T1	Meringosphaera	unknown	6	1	102.00	19635.00	3	3	1
740	D1_B3_T1	Nasselarian	unknown	5	4	172.00	46525.00	3	1	1
741	D1_B3_T1	Nasselarian	unknown	5	2	86.00	46525.00	3	1	1
742	D5_B3_T1	Nasselarian	unknown	5	1	424.00	4712.00	3	5	1
743	D1_B3_T1	Naviculoid	unknown	1	10	430.00	46525.00	3	1	1
744	D2_B3_T1	Naviculoid	unknown	1	4	218.00	36682.00	3	2	1
745	D5_B3_T1	Naviculoid	unknown	1	7	2970.00	4712.00	3	5	1
746	D6_B3_T1	Naviculoid	unknown	1	18	8180.00	4402.00	3	6	1
747	D1_B3_T1	Nitzschia	longissima	1	56	8960.00	12504.00	3	1	1
748	D2_B3_T1	Nitzschia	longissima	1	52	5430.00	19169.00	3	2	1
749	D3_B3_T1	Nitzschia	longissima	1	52	11300.00	9197.00	3	3	1
750	D4_B3_T1	Nitzschia	longissima	1	71	20400.00	6957.00	3	4	1
751	D5_B3_T1	Nitzschia	longissima	1	75	172000.00	874.00	3	5	1
752	D6_B3_T1	Nitzschia	longissima	1	116	265000.00	874.00	3	6	1
753	D1_B3_T1	Nitzschia	unknown	1	17	731.00	46525.00	3	1	1
754	D2_B3_T1	Nitzschia	unknown	1	16	872.00	36682.00	3	2	1
755	D3_B3_T1	Nitzschia	unknown	1	13	1320.00	19635.00	3	3	1
756	D5_B3_T1	Nitzschia	unknown	1	10	4240.00	4712.00	3	5	1
757	D6_B3_T1	Nitzschia	unknown	1	2	909.00	4402.00	3	6	1
758	D3_B3_T1	Oligotrich	unknown	3	1	102.00	19635.00	3	3	1
759	D1_B3_T1	Oxytoxum	unknown	2	1	43.00	46525.00	3	1	1
760	D1_B3_T1	Pennate	unknown	1	9	387.00	46525.00	3	1	1
761	D2_B3_T1	Pennate	unknown	1	11	600.00	36682.00	3	2	1
762	D3_B3_T1	Pennate	unknown	1	2	196.00	2036.00	3	3	1
763	D1_B3_T1	Plagiotropis	unknown	1	1	43.00	46525.00	3	1	1
764	D3_B3_T1	Plagiotropis	unknown	1	2	204.00	19635.00	3	3	1
765	D5_B3_T1	Plagiotropis	unknown	1	2	849.00	4712.00	3	5	1
766	D1_B3_T1	Proboscia	alata	1	1	43.00	46525.00	3	1	1
767	D6_B3_T1	Proboscia	alata	1	1	454.00	4402.00	3	6	1
768	D1_B3_T1	Prorocentrum	gracile	2	9	387.00	46525.00	3	1	1
769	D1_B3_T1	Prorocentrum	micans	2	1	43.00	46525.00	3	1	1
770	D2_B3_T1	Prorocentrum	balticum	2	2	109.00	36682.00	3	2	1
771	D2_B3_T1	Prorocentrum	gracile	2	4	218.00	36682.00	3	2	1
772	D4_B3_T1	Prorocentrum	gracile	1	2	323.00	12391.00	3	4	1
773	D5_B3_T1	Prorocentrum	balticum	2	1	424.00	4712.00	3	5	1
774	D1_B3_T1	Protoperidinium	unknown	2	6	258.00	46525.00	3	1	1
775	D2_B3_T1	Protoperidinium	unknown	2	1	545.00	36682.00	3	2	1
776	D2_B3_T1	Protoperidinium	unknown	2	1	545.00	36682.00	3	2	1
777	D1_B3_T1	Pseudo-nitzschia	unknown	1	192	55500.00	6925.00	3	1	1
778	D2_B3_T1	Pseudo-nitzschia	unknown	1	186	53700.00	6925.00	3	2	1
779	D3_B3_T1	Pseudo-nitzschia	unknown	1	154	397000.00	776.00	3	3	1
780	D4_B3_T1	Pseudo-nitzschia	unknown	1	282	727000.00	776.00	3	4	1
781	D5_B3_T1	Pseudo-nitzschia	unknown	1	436	998000.00	874.00	3	5	1
782	D6_B3_T1	Pseudo-nitzschia	unknown	1	360	824000.00	874.00	3	6	1
783	D1_B3_T1	Rhizosolenia	hepatata	1	1	43.00	46525.00	3	1	1
784	D3_B3_T1	Rhizosolenia	hepatata	1	3	306.00	19635.00	3	3	1
785	D6_B3_T1	Rhizosolenia	hepatata	1	1	454.00	4402.00	3	6	1
786	D1_B3_T1	Salpingella	unknown	3	1	43.00	46525.00	3	1	1
787	D2_B3_T1	Sigmoid	diatom	6	1	545.00	36682.00	3	2	1
788	D1_B3_T1	Skeletonema	unknown	1	12	516.00	46525.00	3	1	1
789	D2_B3_T1	Skeletonema	unknown	1	4	218.00	36682.00	3	2	1
790	D3_B3_T1	Skeletonema	unknown	1	26	2650.00	19635.00	3	3	1
791	D4_B3_T1	Skeletonema	unknown	1	12	3450.00	6957.00	3	4	1
792	D5_B3_T1	Skeletonema	unknown	1	46	19500.00	4712.00	3	5	1
793	D6_B3_T1	Skeletonema	unknown	1	68	30900.00	4402.00	3	6	1
794	D1_B3_T1	Strombidium	unknown	3	4	172.00	46525.00	3	1	1
795	D2_B3_T1	Strombidium	unknown	3	6	327.00	36682.00	3	2	1
796	D3_B3_T1	Strombidium	unknown	3	1	102.00	19635.00	3	3	1
797	D4_B3_T1	Strombidium	unknown	3	2	480.00	834.00	3	4	1
798	D6_B3_T1	Strombidium	unknown	3	8	3630.00	4402.00	3	6	1
799	D4_B3_T1	Thecate	dino	2	1	287.00	6957.00	3	4	1
800	D1_B3_T1	Thalassionema	unknown	1	54	2320.00	46525.00	3	1	1
801	D2_B3_T1	Thalassionema	unknown	1	56	3850.00	29056.00	3	2	1
802	D3_B3_T1	Thalassionema	unknown	1	48	4890.00	19635.00	3	3	1
803	D4_B3_T1	Thalassionema	unknown	1	58	47400.00	245.00	3	4	1
804	D5_B3_T1	Thalassionema	unknown	1	89	204000.00	874.00	3	5	1
805	D6_B3_T1	Thalassionema	unknown	1	83	190000.00	874.00	3	6	1
806	D1_B3_T1	Thalassiosira	anguste-lineata	1	29	1250.00	46525.00	3	1	1
807	D1_B3_T1	Thalassiosira	unknown	1	29	1250.00	46525.00	3	1	1
808	D2_B3_T1	Thalassiosira	gravida	2	5	273.00	36682.00	3	2	1
809	D2_B3_T1	Thalassiosira	unknown	1	47	2560.00	36682.00	3	2	1
810	D3_B3_T1	Thalassiosira	unknown	1	69	348.00	9197.00	3	3	1
811	D4_B3_T1	Thalassiosira	rotula	1	8	2300.00	6957.00	3	4	1
812	D4_B3_T1	Thalassiosira	unknown	1	79	52600.00	3003.00	3	4	1
813	D5_B3_T1	Thalassiosira	rotula	1	4	1700.00	4712.00	3	5	1
814	D5_B3_T1	Thalassiosira	unknown	1	124	284000.00	874.00	3	5	1
815	D6_B3_T1	Thalassiosira	anguste-lineata	1	15	6820.00	4402.00	3	6	1
816	D6_B3_T1	Thalassiosira	rotula	1	35	15900.00	4402.00	3	6	1
817	D6_B3_T1	Thalassiosira	unknown	1	162	371000.00	874.00	3	6	1
818	D2_B3_T1	Thecate	dino	2	1	20.00	1.00	3	2	1
819	D3_B3_T1	Thecate	dino	2	2	204.00	19635.00	3	3	1
820	D6_B3_T1	Thecate	dino	2	6	2730.00	4402.00	3	6	1
821	D3_B3_T1	Tintinnid	unknown	3	2	204.00	19635.00	3	3	1
822	D6_B3_T1	Tintinnid	unknown	3	1	454.00	4402.00	3	6	1
823	D1_B3_T1	Tropidoneis	unknown	1	4	172.00	46525.00	3	1	1
824	D2_B3_T1	Tropidoneis	unknown	1	6	327.00	36682.00	3	2	1
825	D3_B3_T1	Tropidoneis	unknown	1	1	102.00	19635.00	3	3	1
826	D4_B3_T1	Tropidoneis	unknown	1	4	1150.00	6957.00	3	4	1
827	D5_B3_T1	Tropidoneis	unknown	1	10	4240.00	4712.00	3	5	1
828	D6_B3_T1	Tropidoneis	unknown	1	14	6360.00	4402.00	3	6	1
